Year,Player
1980,Kareem Abdul-Jabbar
1980,Julius Erving
1980,George Gervin
1980,Larry Bird
1980,Tiny Archibald
1980,Dennis Johnson
1980,Dan Roundfield
1980,Gus Williams
1980,Moses Malone
1980,Jamaal Wilkes
1981,Julius Erving
1981,Larry Bird
1981,Kareem Abdul-Jabbar
1981,Moses Malone
1981,George Gervin
1981,Marques Johnson
1981,Robert Parish
1981,Dennis Johnson
1981,Tiny Archibald
1981,Jamaal Wilkes
1982,Moses Malone
1982,Larry Bird
1982,Julius Erving
1982,Robert Parish
1982,Gus Williams
1982,George Gervin
1982,Sidney Moncrief
1982,Magic Johnson
1982,Jack Sikma
1982,Kareem Abdul-Jabbar
1983,Moses Malone
1983,Larry Bird
1983,Magic Johnson
1983,Sidney Moncrief
1983,Julius Erving
1983,Alex English
1983,Buck Williams
1983,Artis Gilmore
1983,George Gervin
1983,Kareem Abdul-Jabbar
1984,Larry Bird
1984,Bernard King
1984,Magic Johnson
1984,Kareem Abdul-Jabbar
1984,Isiah Thomas
1984,Julius Erving
1984,Adrian Dantley
1984,Sidney Moncrief
1984,Jeff Ruland
1984,Moses Malone
1985,Larry Bird
1985,Magic Johnson
1985,Moses Malone
1985,Kareem Abdul-Jabbar
1985,Terry Cummings
1985,Michael Jordan
1985,Bernard King
1985,Sidney Moncrief
1985,Isiah Thomas
1985,Ralph Sampson
1986,Larry Bird
1986,Dominique Wilkins
1986,Magic Johnson
1986,Hakeem Olajuwon
1986,Kareem Abdul-Jabbar
1986,Charles Barkley
1986,Sidney Moncrief
1986,Alex English
1986,Isiah Thomas
1986,Moses Malone
1987,Magic Johnson
1987,Michael Jordan
1987,Larry Bird
1987,Kevin McHale
1987,Dominique Wilkins
1987,Charles Barkley
1987,Hakeem Olajuwon
1987,Isiah Thomas
1987,Fat Lever
1987,Moses Malone
1988,Michael Jordan
1988,Larry Bird
1988,Magic Johnson
1988,Charles Barkley
1988,Clyde Drexler
1988,Dominique Wilkins
1988,Hakeem Olajuwon
1988,Karl Malone
1988,Fat Lever
1988,John Stockton
1989,Magic Johnson
1989,Michael Jordan
1989,Karl Malone
1989,Patrick Ewing
1989,Hakeem Olajuwon
1989,Charles Barkley
1989,John Stockton
1989,Kevin Johnson
1989,Tom Chambers
1989,Mark Price
1990,Magic Johnson
1990,Charles Barkley
1990,Michael Jordan
1990,Karl Malone
1990,Patrick Ewing
1990,David Robinson
1990,Hakeem Olajuwon
1990,Tom Chambers
1990,John Stockton
1990,Larry Bird
1990,Buck Williams
1991,Michael Jordan
1991,Magic Johnson
1991,David Robinson
1991,Charles Barkley
1991,Karl Malone
1991,Clyde Drexler
1991,Kevin Johnson
1991,Dominique Wilkins
1991,Larry Bird
1991,Terry Porter
1992,Michael Jordan
1992,Clyde Drexler
1992,David Robinson
1992,Karl Malone
1992,Patrick Ewing
1992,Chris Mullin
1992,Mark Price
1992,Tim Hardaway
1992,Scottie Pippen
1992,Dennis Rodman
1993,Charles Barkley
1993,Hakeem Olajuwon
1993,Michael Jordan
1993,Patrick Ewing
1993,Dominique Wilkins
1993,David Robinson
1993,Shaquille O'Neal
1993,Karl Malone
1993,Mark Price
1993,Brad Daugherty
1993,Clyde Drexler
1993,Joe Dumars
1993,Shawn Kemp
1993,John Stockton
1994,Hakeem Olajuwon
1994,David Robinson
1994,Scottie Pippen
1994,Shaquille O'Neal
1994,Patrick Ewing
1994,Gary Payton
1994,Shawn Kemp
1994,Karl Malone
1994,Mark Price
1994,Charles Barkley
1995,David Robinson
1995,Shaquille O'Neal
1995,Karl Malone
1995,Patrick Ewing
1995,Hakeem Olajuwon
1995,Charles Barkley
1995,Scottie Pippen
1995,John Stockton
1995,Gary Payton
1995,Anfernee Hardaway
1996,Michael Jordan
1996,David Robinson
1996,Anfernee Hardaway
1996,Hakeem Olajuwon
1996,Scottie Pippen
1996,Gary Payton
1996,Karl Malone
1996,Shawn Kemp
1996,Grant Hill
